date,open,high,low,close,volume,silver_close,copper_close,cl_close,platinum_close,DXY_Curncy,GT2_Govt,GT10_Govt,GTII10_Govt,CPI_YOY_Index,CPI_XYOY_Index,PCE_CORE_YOY_Index,PPI_YOY_Index,M2_Index,NFP_TCH_Index,USURTOT_Index,USDCNY_Curncy,CHEFTYOY_Index,CNMS2YOY_Index,GDP_CQOQ_Index,FARBAST_Index,GLD_close,GLD_volume,IAU_close,IAU_volume,GDX_close,GDX_volume,GDXJ_close,GDXJ_volume,geopolitical_value,geopolitical_confidence,invest_value,invest_confidence,geo_weighted,invest_weighted,return_1d,return_5d,return_20d,ma5,ma5_ratio,ma10,ma10_ratio,ma20,ma20_ratio,ma60,ma60_ratio,vol_5d,vol_10d,vol_20d,rsi_14,rsi_21,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_pos,atr_14,volume_ma5_ratio,gold_silver_ratio,silver_return_1d,cl_return_1d,copper_return_1d,yield_spread_10_2,breakeven_inflation,real_rate_proxy,dxy_return_1d,dxy_return_5d,geopolitical_value_ma5,geopolitical_value_diff,geopolitical_value_diff3,invest_value_ma5,invest_value_diff,invest_value_diff3,geo_weighted_ma5,geo_weighted_diff,geo_weighted_diff3,invest_weighted_ma5,invest_weighted_diff,invest_weighted_diff3,target_return_t1,target_return_t5,target_close_t1,target_dir_t1
2023-02-17,1827.4000244140625,1842.199951171875,1818.4000244140625,1840.4000244140625,35,21.694000244140625,4.113999843597412,78.25,915.5,103.862,4.619,3.82,1.454,6.4,5.6,117.505,8.8,21205.3,434.0,3.5,6.8686,-0.8,12.6,2.8,8384767.0,,,,,,,,,0.6,0.7,0.0,0.3,0.42,0.0,-0.0008686078099552352,-0.012024921530442434,-0.04464285657707978,1844.5,-0.0022228113775751845,1856.6799926757812,-0.008768322126559203,1889.304998779297,-0.025885166448420205,1841.3483337402345,-0.0005150081105217419,0.0940827932184447,0.07762007445007311,0.11786133794543284,21.45328719723183,27.542607192421656,-7.779827651226924,2.1255517313638235,-9.905379382590748,1965.2877556572753,1813.3222419013186,0.1781837328964664,23.907139369419628,0.09433962264150944,84.83451662292228,0.0004611800809259936,-0.01621826628965395,-0.012363538208271407,-0.7989999999999999,2.3659999999999997,-2.5800000000000005,5.777230010783896e-05,0.0022387339573481935,0.44000000000000006,0.6,-0.4,-0.33999999999999997,0.0,0.2,0.30799999999999994,0.42,-0.27999999999999997,-0.23399999999999999,0.0,0.12,-0.004020878241630332,-0.012714640351905282,1833.0,0
2023-02-21,1842.5999755859373,1843.0,1833.0,1833.0,862,21.86899948120117,4.234499931335449,77.51000213623047,942.7000122070312,104.176,4.725,3.955,1.528,6.4,5.6,117.505,8.8,21205.3,434.0,3.5,6.8795,-0.8,12.6,2.8,8384767.0,,,,,,,,,1.0,0.95,0.0,0.2,0.95,0.0,-0.004020878241630332,-0.010205747699605139,-0.04882983590787815,1840.7199951171874,-0.004194008397619409,1853.3599975585937,-0.010985452143897345,1884.6,-0.027379815345431324,1842.9266662597656,-0.005386359881542013,0.09067895966819754,0.07683056560888166,0.11758399470563063,16.792853554320004,24.75673350185646,-9.518378178365765,-0.20323425058209413,-9.315143927783671,1962.3615846487523,1806.8384153512475,0.16821663786017016,22.492850167410683,2.0065176908752327,83.8172775801586,0.008066711306865093,-0.009456841709514774,0.02929025092831994,-0.7699999999999996,2.427,-2.4450000000000003,0.003023242379311064,0.0080410276259133,0.5199999999999999,0.4,1.0,-0.18,0.0,0.7,0.414,0.53,0.95,-0.12200000000000003,0.0,0.48999999999999994,-0.0005455537370431252,-0.0022367570026936567,1832.0,0
2023-02-22,1835.699951171875,1836.199951171875,1825.0999755859373,1832.0,278,21.660999298095703,4.202499866485596,76.55000305175781,947.4000244140624,104.585,4.695,3.919,1.512,6.4,5.6,117.505,8.8,21205.3,434.0,3.5,6.8929,-0.8,12.6,2.8,8382190.0,,,,,,,,,1.0,0.8,-0.8,0.9,0.8,-0.7200000000000001,-0.0005455537370431252,-0.011866235167206085,-0.05269146446437245,1836.3199951171875,-0.002352528496490036,1849.3900024414063,-0.009403101789481672,1879.5049987792968,-0.025275271313537573,1844.3783325195313,-0.006711384698724898,0.0876981191063054,0.07269139069921682,0.11569049057726902,16.874141034169526,24.338906320715097,-10.85179094830778,-2.332945590127231,-8.518845358180549,1957.0185847771188,1801.9914127814748,0.1935698550907892,20.928562709263378,0.7853107344632768,84.5759687585827,-0.009511188807895143,-0.012385486492251352,-0.007556987925079861,-0.7760000000000002,2.407,-2.4810000000000003,0.003926048226078782,0.013096587331570264,0.5199999999999999,0.0,1.0,-0.3,-0.8,-0.8,0.434,-0.1499999999999999,0.8,-0.242,-0.7200000000000001,-0.7200000000000001,-0.007641921397379958,0.0031113270588838393,1818.0,0
2023-02-23,1826.4000244140625,1827.5,1818.0,1818.0,291,21.298999786376957,4.072999954223633,75.98999786376953,939.5999755859376,104.598,4.699,3.881,1.482,6.4,5.6,117.505,8.8,21205.3,434.0,3.5,6.9081,-0.8,12.6,2.8,8382190.0,,,,,,,,,1.0,0.8,-1.0,0.5,0.8,-0.5,-0.007641921397379958,-0.008832162034201785,-0.0634658738258781,1833.0800048828125,-0.008226593952606387,1843.45,-0.013805636171309255,1873.3450012207031,-0.02954341094920554,1845.4566650390625,-0.01487797874597141,0.07028005545380535,0.07117263238159166,0.11431762505439462,16.587361125402893,19.89607846494424,-12.889629546429887,-4.4442823813877625,-8.445347165042126,1949.788826338209,1796.9011761031973,0.13800214644042613,18.5142822265625,0.8594211458948612,85.35612085772469,-0.016712041154563484,-0.007315547559281543,-0.030814971178157124,-0.8180000000000001,2.399,-2.5190000000000006,0.00012430080795522436,0.006495193556767864,0.72,0.0,0.4,-0.36,-0.19999999999999996,-1.0,0.594,0.0,0.38000000000000006,-0.24400000000000005,0.22000000000000008,-0.5,-0.005060479192450451,0.008525852585258509,1808.800048828125,0
2023-02-24,1808.800048828125,1808.800048828125,1808.800048828125,1808.800048828125,404,20.80599975585937,3.954999923706055,76.62999725341797,902.0,105.214,4.817,3.947,1.57,6.4,5.6,117.505,8.8,21205.3,434.0,3.5,6.9601,-0.8,12.6,2.8,8382190.0,,,,,,,,,1.0,0.8,1.0,0.8,0.8,0.8,-0.005060479192450451,-0.018023860571050543,-0.06236064915260431,1826.4400146484375,-0.009658113969709503,1837.710009765625,-0.015731514103896727,1867.3300048828125,-0.03134419513510722,1846.6016662597656,-0.020470910495930972,0.04743135016733381,0.07032281313459567,0.11398681292530942,23.712360179700752,15.946510068294117,-15.073235612271446,-6.5700730275645,-8.503162584706946,1944.2321402132732,1790.427869552352,0.11945168490254185,15.207135881696429,1.0773333333333333,86.93646399913061,-0.023146628267159852,0.00842215301539806,-0.02897128206328936,-0.8700000000000001,2.377,-2.4530000000000003,0.005889213942905203,0.01307579725774155,0.9199999999999999,0.0,0.0,-0.16,2.0,1.0,0.754,0.0,-0.1499999999999999,-0.084,1.3,0.8,0.004533365187151306,0.021505916239305867,1817.0,1
2023-02-27,1811.5999755859373,1817.5,1808.9000244140625,1817.0,829,20.670000076293945,4.008999824523926,76.81999969482422,941.5999755859376,104.673,4.78,3.916,1.544,6.4,5.6,117.505,8.8,21205.3,434.0,3.5,6.9441,-0.8,12.6,2.8,8382190.0,,,,,,,,,0.6,0.8,0.7,0.7,0.48,0.48999999999999994,0.004533365187151306,-0.012714640351905282,-0.057865797468980906,1821.760009765625,-0.002612863242199115,1833.1300048828125,-0.008799160364975633,1861.7500061035157,-0.024036527974652055,1847.744999186198,-0.01663920032241406,0.07480742747121337,0.08014097499257608,0.11686188264254357,27.179995878147167,20.577415375742945,-15.95813616168698,-8.447685654388996,-7.510450507297984,1936.0857732844981,1787.4142389225333,0.1990008457519272,14.607134137834821,1.55301611090296,87.90517625570692,-0.006536560663331081,0.0024794786404325198,0.01365357821986235,-0.8640000000000003,2.372,-2.4840000000000004,-0.005141901267892046,0.0078084381198129105,0.9200000000000002,-0.4,-0.4,-0.020000000000000018,-0.30000000000000004,1.5,0.766,-0.32000000000000006,-0.32000000000000006,0.013999999999999967,-0.3100000000000001,1.21,0.006549270453529266,0.017006067371525768,1828.9000244140625,1
2023-02-28,1808.0999755859373,1830.0,1808.0999755859373,1828.9000244140625,618,20.961000442504883,4.097499847412109,77.83000183105469,955.2000122070312,104.869,4.819,3.923,1.547,6.0,5.5,117.929,6.3,21184.5,290.0,3.6,6.9356,-1.4,12.9,2.8,8382190.0,,,,,,,,,1.0,0.9,0.0,0.5,0.9,0.0,0.006549270453529266,-0.0022367570026936567,-0.04888449675309736,1820.9400146484375,0.004371373961575387,1830.8300048828125,-0.0010541560186378973,1857.0500061035157,-0.01515844032036473,1849.1266662597657,-0.010938483671654398,0.09621912594332034,0.08915879324566782,0.1216391756983524,31.260989795056688,25.309559337446316,-15.520285514532361,-9.86220562641767,-5.658079888114692,1926.855112837151,1787.2448993698804,0.2983673186177682,15.492850167410731,1.2742268041237113,87.25251589700613,0.014078392120795424,0.013147645668352137,0.022075337181810095,-0.8959999999999999,2.3760000000000003,-2.077,0.0018724981609392621,0.006652203962524972,0.9200000000000002,0.4,0.0,-0.020000000000000018,-0.7,1.0,0.756,0.42000000000000004,0.09999999999999998,0.013999999999999967,-0.48999999999999994,0.5,0.004811595297906868,-0.008201651156304002,1837.699951171875,1
2023-03-01,1827.0999755859373,1841.699951171875,1827.0999755859373,1837.699951171875,211,20.958999633789062,4.168000221252441,77.8499984741211,961.5,104.483,4.878,3.995,1.56,6.0,5.5,117.929,6.3,21184.5,290.0,3.6,6.8698,-1.4,12.9,2.8,8339684.0,,,,,,,,,1.0,0.7,1.0,0.75,0.7,0.75,0.004811595297906868,0.0031113270588838393,-0.04757711781711582,1822.0800048828125,0.008572590801284363,1829.2,0.004646813454993959,1852.4600036621093,-0.007967811699607696,1849.7366658528647,-0.006507258521277093,0.10311401268770466,0.09368797057669588,0.12262147040656966,33.07753707120564,29.219481957103866,-14.298382325801867,-10.74944096629451,-3.5489413595073582,1913.7610502075888,1791.1589571166298,0.3796101100846345,15.91427176339289,0.4474130619168787,87.68070915567675,-9.545387498599567e-05,0.0002569271822685515,0.017205705055695963,-0.883,2.435,-2.005,-0.0036807826907856445,-0.0009752832624180252,0.9200000000000002,0.0,0.0,0.33999999999999997,1.0,0.0,0.736,-0.20000000000000007,-0.10000000000000009,0.308,0.75,-0.050000000000000044,-0.002285439018049007,-0.013603961835041645,1833.5,0
2023-03-02,1830.0,1836.300048828125,1830.0,1833.5,154,20.766000747680664,4.084000110626221,78.58999633789062,962.9000244140624,105.027,4.888,4.059,1.574,6.0,5.5,117.929,6.3,21184.5,290.0,3.6,6.9168,-1.4,12.9,2.8,8339684.0,,,,,,,,,0.6,0.7,0.0,0.5,0.42,0.0,-0.002285439018049007,0.008525852585258509,-0.048915886730809155,1825.1800048828125,0.004558451821151666,1829.1300048828125,0.0023891112744975906,1847.7450012207032,-0.007709397785566896,1850.3633321126301,-0.00911352479806038,0.08042583201771727,0.07690245433021678,0.12248633021771577,35.17678645736497,26.30797892146643,-13.513145079672086,-11.302181788970024,-2.210963290702061,1898.192204124257,1797.2977983171495,0.35881277453285176,14.692844935825942,0.34669067987393065,88.29336096968447,-0.009208401616518702,0.009505431962410604,-0.02015357633569881,-0.8289999999999997,2.4850000000000003,-1.9409999999999998,0.005206588631643472,0.004101416853094619,0.8400000000000001,-0.4,0.0,0.54,-1.0,-0.7,0.6599999999999999,-0.27999999999999997,-0.06,0.40800000000000003,-0.75,-0.48999999999999994,0.007744723846127677,-0.0022906742142759784,1847.699951171875,1
2023-03-03,1837.300048828125,1855.4000244140625,1837.300048828125,1847.699951171875,61,21.093000411987305,4.078000068664551,79.9000015258789,977.2000122070312,104.521,4.859,3.955,1.439,6.0,5.5,117.929,6.3,21184.5,290.0,3.6,6.9043,-1.4,12.9,2.8,8339684.0,,,,,,,,,0.0,0.3,-0.7,0.6,0.0,-0.42,0.007744723846127677,0.021505916239305867,-0.03579820273876266,1832.9599853515624,0.008041618986835308,1829.7,0.00983765162150907,1844.3149963378905,0.001835345285759571,1851.7016642252604,-0.0021611003169129672,0.06164416577122924,0.08396426228527488,0.12690253813656185,43.765435209918856,31.380717758036155,-11.611175120079679,-11.363980455191957,-0.24719466488772213,1883.1216157973606,1805.5083768784204,0.5436131113787961,15.271423339843798,0.16240681576144833,87.59777722443962,0.015746877228787648,0.016668854167597003,-0.0014691581290749989,-0.9039999999999999,2.516,-2.045,-0.004817808753939445,-0.006586575930959793,0.64,-0.6,-1.0,0.2,-0.7,-0.7,0.5,-0.42,-0.9,0.16399999999999998,-0.42,-0.42,0.0001082823226037366,0.007739378257306084,1847.9000244140625,1
2023-03-06,1853.300048828125,1853.800048828125,1844.199951171875,1847.9000244140625,5,20.983999252319336,4.100500106811523,80.62999725341797,976.0999755859376,104.35,4.888,3.961,1.475,6.0,5.5,117.929,6.3,21184.5,290.0,3.6,6.9318,-1.4,12.9,2.8,8339684.0,,,,,,,,,0.0,0.1,0.0,0.1,0.0,0.0,0.0001082823226037366,0.017006067371525768,-0.008051961889215198,1839.139990234375,0.0047631144046687,1830.45,0.009533188240084423,1843.5649963378905,0.0023514376139617266,1853.0116638183595,-0.002758557597939637,0.06806996452466782,0.08372334821816932,0.07967847634430457,48.18840419462271,33.21882998138996,-9.972746373214932,-11.085733638796553,1.112987265581621,1881.4275713847692,1805.702421291012,0.5572468733339901,15.042855398995584,0.02371916508538899,88.06233750326473,-0.005167646021853933,0.00913636687857422,0.005517419756773334,-0.927,2.4859999999999998,-2.039,-0.0016360348638073674,-0.003085800540731709,0.52,0.0,-1.0,0.06000000000000001,0.7,-1.0,0.404,0.0,-0.7,0.06599999999999999,0.42,-0.75,-0.018399263786351705,0.03452563770490902,1813.9000244140625,0
2023-03-07,1840.9000244140625,1840.9000244140625,1813.9000244140625,1813.9000244140625,450,20.054000854492188,3.986500024795532,80.94000244140625,933.4000244140624,105.615,5.011,3.967,1.58,6.0,5.5,117.929,6.3,21184.5,290.0,3.6,6.9662,-1.4,12.9,2.8,8339684.0,,,,,,,,,0.2,0.6,-1.0,0.7,0.12,-0.7,-0.018399263786351705,-0.008201651156304002,-0.028024824845253482,1836.139990234375,-0.012112347608895457,1828.5400024414062,-0.008006375582594205,1840.95,-0.014693487376592262,1853.4849975585937,-0.02135705074315275,0.16249302847752797,0.12629527637052324,0.10192490280819165,35.91005051809138,36.713658907298004,-11.287678308028035,-11.12612257264285,-0.16155573538518553,1879.4491717219696,1802.4508282780305,0.14869405786917014,16.34285191127237,2.539503386004515,90.45078024504471,-0.04431940673674761,0.0038447872820079887,-0.027801506900736572,-1.044,2.387,-2.033,0.01212266411116425,0.00711363701379808,0.36,0.2,-0.39999999999999997,-0.13999999999999999,-1.0,-1.0,0.248,0.12,-0.3,-0.074,-0.7,-0.7,-0.0006615983384062885,0.05088479272038593,1812.699951171875,0
2023-03-08,1811.5999755859373,1812.9000244140625,1811.5,1812.699951171875,75,20.0049991607666,4.041500091552734,77.7300033569336,938.0999755859376,105.658,5.073,3.994,1.665,6.0,5.5,117.929,6.3,21184.5,290.0,3.6,6.9592,-1.4,12.9,2.8,8342283.0,,,,,,,,,0.0,1.0,-1.0,0.8,0.0,-0.8,-0.0006615983384062885,-0.013603961835041645,-0.03152214646533491,1831.139990234375,-0.010070250860579999,1826.6099975585937,-0.007615225146753057,1838.0,-0.013764988481025586,1853.8849975585938,-0.02221553464263204,0.1532012289391695,0.12628370390188,0.1006733273149894,41.30961661814773,35.32638900979107,-12.284993463648561,-11.357896750843992,-0.9270967128045697,1875.6097420813956,1800.3902579186044,0.16365032797175375,14.671421595982192,0.5,90.61234826924127,-0.002443487166532643,-0.039658994164182615,0.013796580061484764,-1.0790000000000002,2.329,-2.006,0.00040713913743317676,0.011245848606950437,0.16,-0.2,0.0,-0.54,0.0,-0.30000000000000004,0.10800000000000001,-0.12,0.0,-0.384,-0.10000000000000009,-0.38000000000000006,0.009157664314779934,0.0628344610151439,1829.300048828125,1
